Channel Name, Title,Views,Likes,Comments,Duration
Deepak Tulsyan,"How to do BlocBoy JB ""SHOOT"" Dance (FORTNITE HYPE DANCE) | Deepak Tulsyan Dance Tutorial",619362,9801,185,161
Deepak Tulsyan,Naina Da Kya Kasoor | One Take | Deepak Tulsyan Choreography ft. Sapna Zuva | Amit Trivedi,1721546,36074,745,80
Deepak Tulsyan,Aaankh Marey Dance Tutorial With Music | Bollywood Dance Tutorial | Deepak Tulsyan,749072,8134,209,484
Deepak Tulsyan,Lamberghini Dance Tutorial | Deepak Tulsyan Choreography,619067,7964,224,619
Deepak Tulsyan,She Move It Like | Badshah | Deepak Tulsyan Choreography,677360,15149,522,90
Deepak Tulsyan,Deepak Tulsyan Rewind 2018 | Happy New Year | #Deepaktulsyan,29968,928,80,151
Deepak Tulsyan,Lamberghini | The Doorbeen | Deepak Tulsyan Choreography | ft. Sanchi Paul,2610022,55184,972,144
Deepak Tulsyan,"AANKH MAREY | SIMMBA | Ranveer Singh, Sara Ali khan | Deepak Tulsyan Choreography | Bollywood Dance",71685878,586324,7613,74
Deepak Tulsyan,"FORTNITE Dance in Real Life | How to Do ""ORANGE JUSTICE"" Dance | Deepak Tulsyan Dance Tutorial",306808,4853,164,212
Deepak Tulsyan,Thank you so much for 2 Silver Pay button | Love you all | Deepak Tulsyan,43967,1348,90,95
Deepak Tulsyan,Morni Banke | Wedding dance | Guru Randhawa | Badhaai ho | Deepak Tulsyan & Pogo Choreography,212700,3566,156,109
Deepak Tulsyan,"DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B | Deepak Tulsyan Choreography",300962,4138,113,56
Deepak Tulsyan,Proper Patola Dance Tutorial | Deepak Tulsyan Choreography | Badshah | Bollywood | Hip Hop,161715,2319,101,620
Deepak Tulsyan,Proper Patola | Dance Cover | Badshah | Diljit Dosanjh | Deepak Tulsyan Choreography,1408899,22041,485,100
Deepak Tulsyan,Kya Baat Ay Dance Tutorial | Bollywood Dance Tutorial | Deepak Tulsyan | Hindi,402540,6195,194,558
Deepak Tulsyan,Kya baat ay | harrdy Sandhu | Beginner Dance Choreography | Deepak Tulsyan,3662238,53238,981,77
Deepak Tulsyan,Akh Lad Jaave Dance | Deepak Tulsyan | Dance Choreography | Loveyatri | Badshah,251174,4723,200,84
Deepak Tulsyan,"3 Basic Dance Steps for ""GIRLS"" Kids | Deepak Tulsyan Dance Tutorial | Part 8",4541427,75708,687,251
Deepak Tulsyan,Gwandian Dance | Dr. Zeus | Zora Randhawa | Deepak Tulsyan Choreography | Kids | Bhangra,956860,13081,,76
Deepak Tulsyan,How to Do The Backpack Kid Dance (THE FLOSS) | Deepak Tulsyan Dance Tutorial,13284706,114688,3050,166
Deepak Tulsyan,Online Dance Class | Basic Steps Routine | 4*8 Combo | Deepak Tulsyan | Hindi,3835421,74220,1655,389
Deepak Tulsyan,Ishare Tere - Solo | Guru Randhawa | Deepak Tulsyan Choreography | Mumbai,61592,1276,97,92
Deepak Tulsyan,"Basic Dance Steps for ""KIDS"" | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 7",2354019,29005,,493
Deepak Tulsyan,Dilbar Dance | Delhi Workshop | Nora Fatehi | John Abraham | Deepak Tulsyan Choreography,1946422,10887,562,148
Deepak Tulsyan,"Basic Dance Steps for ""KIDS"" | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 6",190571,3090,131,414
Deepak Tulsyan,Dilbar Dance Tutorial | Deepak Tulsyan | Bollywood Dance Tutorial | Hindi,477839,5481,179,552
Deepak Tulsyan,Zingaat Dance Tutorial | Deepak Tulsyan Choreography | Bollywood Dance Tutorial | Hindi,62255,1241,75,810
Deepak Tulsyan,Basic Dance Steps for Everyone | 3 Simple Moves | Practice Everyday | Deepak Tulsyan | Part 8,10599372,226047,2483,501
Deepak Tulsyan,Zingaat Dance Choreography | Adv. Kids | Class Video | Dhadak | Bollywood Dance | Deepak Tulsyan,740538,9407,,97
Deepak Tulsyan,"Learn How to dance on ""MADE IN INDIA"" | Deepak Tulsyan | Bollywood Dance Tutorial | Hindi",92040,1274,,943
Deepak Tulsyan,Guru Randhawa: MADE IN INDIA | Elnaaz Norouzi | Deepak Tulsyan Dance Choreography,660166,7456,,86
Deepak Tulsyan,"Learn How to dance on ""TAREEFAN"" | Step By Step | Deepak Tulsyan | Bollywood Dance Tutorial | Hindi",122829,2046,,991
Deepak Tulsyan,Tareefan | Deepak & Yashna Dance Choreography | Beginner | Veere di Wedding | Badshah,211507,4654,,102
Deepak Tulsyan,"iLLEGAL WEAPON | Deepak Tulsyan | Travel Dance Choreography | Kheerganga Trek, Kasol",52208,1607,,70
Deepak Tulsyan,Basic Knowledge of Dance - Hand & Leg Moves Name | Part 1 | Deepak Tulsyan | Hindi,1822684,39520,,297
Deepak Tulsyan,"Parvati Valley, Kullu | Bom diggy Dance Video | Deepak Tulsyan Dance Choreography",36118,946,,100
Deepak Tulsyan,Daru Badnaam Dance Tutorial | Easy Dance Steps | Bollywood Bhangra Dance | Deepak Tulsyan | Hindi,179496,2242,,407
Deepak Tulsyan,Bom Diggy Dance Tutorial | Adv. Dance | Deepak Tulsyan Choreography | Hindi,56580,892,,568
Deepak Tulsyan,Online Dance Tutorial for KIDS | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 5,187170,3066,,412
Deepak Tulsyan,Daru Badnaam | Beginner Dance Choreography | Deepak Tulsyan | Kamal Kahlon & Param Singh,253161,4439,,64
Deepak Tulsyan,How to Dance | Basic Dance Steps for beginners | 3 Simple Moves | Deepak Tulsyan | Part 7,991835,24586,,470
Deepak Tulsyan,Khalibali - Kids Dance Choreography | Padmavat | Bollywood Dance | Deepak tulsyan,407758,3072,,231
Deepak Tulsyan,Oh ho Jane Jaana | Toddlers Batch | Deepak Tulsyan | Salman Khan | Dance Choreography,750966,6099,,140
Deepak Tulsyan,Contemporary Dance tutorial for Beginners | Dance Routine | Deepak Tulsyan | Hindi,472531,11850,,448
Deepak Tulsyan,Song- Swag Se Swagat | Outstanding Performance By Kids | Tiger Zinda hai,14360750,106100,,143
Deepak Tulsyan,Mundiyan - Dance Video | Bollywood Dance Choreography | Baaghi 2 | Tiger Shroff | Deepak Tulsyan,84204,1428,,185
Deepak Tulsyan,"Learn How to Dance On ""EK DO TEEN"" | Baaghi 2 | Step By Step | Bollywood Dance Tutorial [ Hindi ]",285143,4217,,714
Deepak Tulsyan,Ek Do Teen - Dance Video | Bollywood Dance Choreography | Baaghi 2 | Shreya Ghoshal | Deepak Tulsyan,4520059,60191,,101
Deepak Tulsyan,Dancercise - How to do Warm up before Dance | 10 minutes Workout | Beginner Level,2905892,52052,1138,615
Deepak Tulsyan,"Basic Dance Steps for ""KIDS"" | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 4",2519532,30938,,646
Deepak Tulsyan,"My first Youtube Fanfest in Delhi with BB ki Vines, Technical Guruji, CarryMinati and others",6831,231,,735
Deepak Tulsyan,"Learn How to Dance on ""iLLEGAL WEAPON"" | Step by Step | Bollywood Dance Tutorial | Hindi",752309,12721,,718
Deepak Tulsyan,iLLEGAL WEAPON Dance Video | Deepak Tulsyan Dance Choreography | Jasmine Sandlas ft. Garry Sandhu,5673872,82883,1824,81
Deepak Tulsyan,How to Dance | Basic Dance Steps for beginners | 3 Simple Moves | Deepak Tulsyan | Part 6,2087016,41359,2113,391
Deepak Tulsyan,iLLEGAL WEAPON DANCE| Short Video | Bollywood Dance Choreography | Jasmine Sandlas,132190,2206,117,46
Deepak Tulsyan,"Learn How to dance on ""CHHOTE CHHOTE PEG"" | Step By Step | Deepak Tulsyan | Bollywood Dance Tutorial",26962,437,,1596
Deepak Tulsyan,"Dil Diyan Gallan | Deepak Tulsyan | Travel Dance Choreography | Triund Trek, Mcleodganj,",51729,1436,154,217
Deepak Tulsyan,Deepak Tulsyan - Chhote Chhote Peg - Yo Yo Honey Singh | Kids Dance | Advance Choreography,1269160,12960,667,146
Deepak Tulsyan,How to Do Arm Wave & Body Wave | Step By Step | Deepak Tulsyan Dance Tutorial | Hindi,2532265,55678,712,501
Deepak Tulsyan,"Basic Dance Steps for ""GIRLS"" kids | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 3",2541696,33528,0,522
Deepak Tulsyan,"Learn How to Dance on ""Pallo Latke"" | Step By Step | Bollywood Tutorial | Deepak Tulsyan | Hindi",686411,7294,200,1136
Deepak Tulsyan,Pallo Latke | Shaadi Mein Zaroor Aana | Bollywood Beginner Dance Choreography | Easy Dance Steps,8249586,75673,0,195
Deepak Tulsyan,"Learn how to Dance on ""Dil Chori Sada"" | Step By Step | Dance Tutorial | Bollywood Dance | Hindi",427291,5119,,940
Deepak Tulsyan,DIL CHORI | Beginner Dance Choreography | Yo Yo Honey Singh | Bollywood Dance | Easy Dance Steps,2967587,26552,,97
Deepak Tulsyan,Rewind 2017 | Deepak Tulsyan | Bollywood Dance,25156,540,,539
Deepak Tulsyan,"Basic Dance Steps for ""KIDS"" | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 2",1139706,11089,,479
Deepak Tulsyan,Top 5 Kids Dance Video of 2017 by Deepak tulsyan | Bollywood Dance,254191,3399,,446
Deepak Tulsyan,"Learn how to dance on "" NAAH "" | Step by Step | Bollywood Dance Tutorial | Deepak Tulsyan | Hindi",365720,4274,,734
Deepak Tulsyan,Naah Goriye | Harrdy Sandhu | Dance Cover | Bollywood Dance Choreography | Deepak Tulsyan,5416427,66634,,88
Deepak Tulsyan,How to Dance | Basic Dance Steps for beginners | 3 Simple Moves | Part 4,260451,5374,,429
Deepak Tulsyan,Maine Tujhko Dekha | Golmaal Again | Toddlers/Kids Dance Video | Bollywood Dance | Deepak Tulsyan,143919,1132,,112
Deepak Tulsyan,"Basic Dance Steps for ""KIDS"" | Deepak Tulsyan Dance Tutorial | Beginner Dance Steps | Part 1",4208284,36193,,385
Deepak Tulsyan,"Learn how to dance on ""OONCHI HAI BUILDING"" | Bollywood Dance | Dance Tutorial | Deepak Tulsyan",157532,1444,,690
Deepak Tulsyan,Learn how to dance on Swag Se Swagat Song | Step by Step | Bollywood Dance Tutorial,195280,2075,,679
Deepak Tulsyan,Swag Se Swagat Song | Bollywood Dance Choreography | Tiger Zinda hai | Salman khan | Deepak Tulsyan,1485280,17663,,81
Deepak Tulsyan,HAWA HAWAI 2.0 | TUMHARI SULU | BOLLYWOOD DANCE | CHOREOGRAPHY | KIDS | DEEPAK TULSYAN,102955,659,,69
Deepak Tulsyan,Online Dance Class | Basic Steps Routine | 4*8 Combo | Deepak Tulsyan | Hindi,463481,6859,200,399
Deepak Tulsyan,Basic Hip Hop Dance moves for beginners | 3 Dance moves | Deepak Tulsyan Dance Tutorial,347429,7298,,634
Deepak Tulsyan,Sweety Tera Drama I EASY WEDDING DANCE STEPS I Bollywood Dance| Bareilly Ki Barfi I Deepak Tulsyan,2646775,16259,,205
Deepak Tulsyan,"SPLITS Tutorial | Stretching, Flexibility Workout | Deepak Tulsyan | 8 Minutes",582369,14371,,513
Deepak Tulsyan,Oonchi Hai Building 2.0 Kids Dance | Bollywood Dance Choreography | Judwaa 2 | Deepak Tulsyan,3682828,18922,,125
Deepak Tulsyan,Learn how to dance on chalti hai kya 9 se 12 | Deepak Tulsyan Bollywood Dance tutorial,78702,1194,,834
Deepak Tulsyan,"DESPACITO Dance | Deepak Tulsyan Choreography | Luis fonsi, daddy yankee",51982,600,,98
Deepak Tulsyan,Learn How to Dance in Club & Party | Basic Dance Steps | Deepak Tulsyan Dance Tutorial,743424,11632,,387
Deepak Tulsyan,Chalti Hai kya 9 se 12 Kids Dance choreography | Bollywood Dance | Deepak Tulsyan | Judwaa 2,4230409,28314,,96
Deepak Tulsyan,Hawa Hawa Kids Dance Choreography | Mubarakan | Deepak Tulsyan | Bollywood Dance,8626444,34547,,141
Deepak Tulsyan,Learn how to dance on Bani Teri Radha | Deepak Tulsyan Bollywood Dance Tutorial,40779,405,,924
Deepak Tulsyan,How to Dance | Basic Dance Steps for beginners | 3 Simple Moves | Deepak Tulsyan | Hindi | Part 3,156158,3139,,413
Deepak Tulsyan,Bani Teri Radha Dance - Jab Harry Met Sejal | Deepak Tulsyan Choreography | Bollywood Beginner,1291928,7890,,124
Deepak Tulsyan,Couple Wedding Dance Performance | Romantic Songs | Indian Sangeet Dance | Dekha Hazaro Daffa,113464,1103,,141
Deepak Tulsyan,Tu Cheez Badi hai Mast Mast | Machine | Deepak Tulsyan Choreography,1157248,13442,,94
Deepak Tulsyan,Main Tera Boyfriend Dance | Raabta | Deepak Tulsyan Choreography,198151,3115,,96
Deepak Tulsyan,Main Tera Boyfriend - Raabta | Kids Dance Class | Deepak tulsyan Choreography,2594539,9292,,169
Deepak Tulsyan,Badri Ki Dulhania | Toddlers - Kids Dance | Deepak Tulsyan Choreography | Bollywood Dance,6160763,16826,,258
Deepak Tulsyan,How to Dance | Basic Dance Steps for beginners | 3 Simple Moves | Part 2,189543,3512,79,300
Deepak Tulsyan,Gulabi aankhen jo teri dekhi 2.0 | Noor | Kids Dance Choreography | Deepak Tulsyan,227326,1293,,146
Deepak Tulsyan,How to Dance | Basic Dance Steps for beginners | 3 Simple Moves | Part 1,1292331,16365,255,261
Deepak Tulsyan,Mercy | Badshah | Class Video | Deepak Tulsyan Dance Choreography,100419,1186,,49
Deepak Tulsyan,Tamma Tamma Again | Badrinath ki Dulhania | Kids Dance | Bollywood Dance Choreography,1381322,5133,,113
Deepak Tulsyan,How to Dance | Tutorial no. 18 | Badri Ki Dulhania | Bollywood Dance tutorial,20919,288,,877
Deepak Tulsyan,Badri Ki Dulhania | Bollywood Dance Choregraphy | Deepak Tulsyan ft. Aman Chauhan,2247741,18166,,127
Deepak Tulsyan,How to Dance | Tutorial no. 17 | Nashe Si Chadh Gayi | Bollywood Dance tutorial,97530,1585,,836
